Word	Translation
ο στόχος	цель
το όνειρο	мечта
ο σκοπός	цель, смысл
η Ιθάκη	Итака
το ταξίδι	путешествие
ο δρόμος	дорога, путь
η διαδρομή	путь
ο προορισμός	место назначения
η προσπάθεια	усилие
η επιτυχία	успех
η εμπειρία	опыт
η γνώση	знание
η περιπέτεια	приключение
η ελπίδα	надежда
το μέλλον	будущее
η επιλογή	выбор
η απόφαση	решение
η υπομονή	терпение
η σοφία	мудрость
το ποίημα	стихотворение
ο ποιητής	поэт
ο στίχος	строка стихотворения
το θέμα	тема
το μήνυμα	идея, послание
το σύμβολο	символ
ο συμβολισμός	символизм
