Word	Translation
η άδεια	vacation / leave
η άνεση	comfort
το αξιοθέατο	attraction
το δεκαήμερο	ten-day period
το δεκαπενθήμερο	two-week period
ο Δεκαπενταύγουστος	mid-August holiday
η διαμονή	accommodation
η διασκέδαση	entertainment
το δρομολόγιο	schedule / route
η προσφορά	offer / deal
η κρουαζιέρα	cruise
η βαλίτσα	suitcase
η πτήση	flight
η αναχώρηση	departure
η άφιξη	arrival
η καθυστέρηση	delay
το εισιτήριο	ticket
η φασαρία	commotion / noise
η ησυχία	quiet
το κάμπινγκ	camping
η σκηνή	tent
το καταφύγιο	shelter
η πανσιόν	guesthouse
το ξενοδοχείο	hotel
η κράτηση	reservation
ο τουριστικός οδηγός	tourist guide(book)
