Word	Translation
Το σπίτι βγάζει προβλήματα.	The house keeps having problems.
Ποιανού είναι το σπίτι;	Whose house is it?
Εμένα μου αρέσει. Εσένα;	I like it. Do you?
Μα τι λέτε;	What are you saying?!
Σας παίρνω για...	I'm calling you about...
Δεν έχετε δίκιο.	You're wrong.
Μου είναι δύσκολο να....	It's difficult for me to...
Κάνε ό,τι θέλεις.	Do whatever you want.
Όπως θέλεις.	As you wish.
Πώς μπορώ να βοηθήσω;	How can I help?
Παίζουν ρόλο πολλά.	A lot of things matter.
Δεν μπορείτε να (μου) κάνετε καλύτερη τιμή;	Can't you give me a better price?
Τι να σας πω;	What can I tell you?
Κοντεύουμε.	We're almost done.
Πόσο σου πήγε;	How much did it cost you?
Αλλιώς ... άσ' τα!	Otherwise... forget it!
Φτηνά τη γλίτωσα.	I got off cheap.
Δεν κάναμε και τίποτα.	It wasn't a big deal.
Μοιραζόμαστε τα έξοδα.	We split the expenses.
Ωραίο όνομα δεν έχει;	Doesn't she have a nice name?
Γυρίζει όλον τον κόσμο.	She travels the whole world.
...., δε νομίζετε;	...., don't you think?
Καλά τώρα.	Come on now.
Εμείς δε χανόμαστε...	We won't lose touch...
Θα (σας) κάνω το τραπέζι.	I'll treat you (to a meal).
