Word	Translation
ίδιος	the same
τέτοιος	such
τόσος	so/that much
κάποιος	some, a certain
κανένας	any, no one's
άλλος	other, another
μόνος	alone, only
φοβερός	terrifying
μειωμένος	reduced, decreased
γνωστός	(well) known, an acquaintance
διαφορετικός	different
κεντρικός	central
ζωντανός	lively
αρνητικός	negative
επικίνδυνος	dangerous
γρήγορος	fast
εύκολος	easy
οικονομικός	economical
ευχάριστος	pleasant
υγιεινός	healthy
κουραστικός	tiring
κάθετος	perpendicular
παράλληλος	parallel
επόμενος	next, following
καθημερινός	everyday, daily
τελευταίος	last, final
