Word	Translation
η άδεια	vacation, leave
η άνεση	comfort, ease
το αξιοθέατο	attraction, sight
το δεκαήμερο	ten-day period
το δεκαπενθήμερο	two-week period
ο Δεκαπενταύγουστος	Feast of the Dormition (August 15th)
η διαμονή	accommodation, stay
η διασκέδαση	entertainment, fun
το δρομολόγιο	schedule, timetable
η προσφορά	offer, deal, discount
η κρουαζιέρα	cruise
η βαλίτσα	suitcase
η πτήση	flight
η αναχώρηση	departure
η άφιξη	arrival
η καθυστέρηση	delay
το εισιτήριο	ticket
η φασαρία	noise, fuss, trouble
η ησυχία	quiet, peace, silence
το κάμπινγκ	camping
η σκηνή	tent
το καταφύγιο	shelter, refuge
η πανσιόν	pension, guesthouse
το ξενοδοχείο	hotel
η κράτηση	reservation, booking
