Word	Translation
το μήνυμα	сообщение
το τηλέφωνο	телефон
το κινητό	мобильный телефон
το σταθερό	стационарный телефон
το πάρτι	вечеринка
η πρόσκληση	приглашение
το πτυχίο	диплом / степень
ο φίλος	друг
ο πατέρας	отец
ο γιος	сын
ο γιατρός	врач (муж.)
η γιατρός	врач (жен.)
ο μαθητής	ученик
ο άντρας	мужчина
ο γείτονας	сосед
η οδός	улица
η είσοδος	вход
η λεωφόρος	проспект
η δουλειά	работа
η γυναίκα	женщина
το σπίτι	дом
το μάθημα	урок
η σταδιοδρομία	карьера
τα συγχαρητήρια	поздравления
η έξοδος	выход
ο δικηγόρος	адвокат (муж.)
η δικηγόρος	адвокат (жен.)
ο μηχανικός	инженер (муж.)
η μηχανικός	инженер (жен.)
ο οδηγός	водитель (муж.)
η οδηγός	водитель (жен.)
ο πρόεδρος	президент (муж.)
η πρόεδρος	президент (жен.)
ο φοιτητής	студент (ун-т)
η οικογένεια	семья
ο συνάδελφος	коллега
ο κύριος	господин
η κυρία	госпожа
η στιγμή	момент
το λεπτό	минута
η μουσική	музыка
το δώρο	подарок
το αυτοκίνητο	машина
η στάση	остановка
