Word	Translation
ίδιος	тот же самый
τέτοιος	такой
τόσος	столько, так много
καθημερινός	ежедневный, повседневный
φοβερός	ужасный, потрясающий
μειωμένος	уменьшенный, сниженный
γνωστός	известный, знакомый
διαφορετικός	разный, другой
επόμενος	следующий
τελευταίος	последний, крайний
άλλος	другой
αρνητικός	отрицательный
γρήγορος	быстрый
επικίνδυνος	опасный
ευχάριστος	приятный
εύκολος	лёгкий
ζωντανός	живой, оживлённый
κάθετος	перпендикулярный
κάποιος	какой-то, некий
κανένας	никакой, ничей
κεντρικός	центральный
κουραστικός	утомительный
μόνος	один
οικονομικός	экономичный
παράλληλος	параллельный
υγιεινός	полезный
