Word	Translation
η ανάμνηση	воспоминание
η γειτονιά	квартал / соседство
το χωριό	деревня
το νησί	остров
η θάλασσα	море
το λιμάνι	порт / гавань
το βουνό	гора
ο ναός	храм / церковь
η κοινωνία	общество
η ελευθερία	свобода
η φύση	природа
το νόημα	смысл
η οικογένεια	семья
οι κανόνες	правила
ο συμβολισμός	символизм
η αλληγορία	аллегория
ο περιορισμός	ограничение
η πίεση	давление
η σύγκρουση	столкновение / конфликт
η αντίδραση	реакция
το συμφέρον	интерес / выгода
ο εχθρός	враг
ο φόβος	страх
η αγωνία	тревога / беспокойство
η δολοφονία	убийство
ο θάνατος	смерть
η προδοσία	предательство
ο εμφύλιος	гражданская война
η ατμόσφαιρα	атмосфера
η ένταση	напряжение
η μνήμη	память
το άγαλμα	статуя
η προτομή	бюст
