Word	Translation
Το σπίτι βγάζει προβλήματα.	В доме постоянно проблемы.
Ποιανού είναι το σπίτι;	Чей это дом?
Εμένα μου αρέσει. Εσένα;	Мне он нравится. А тебе?
Μα τι λέτε;	Да что вы такое говорите?!
Σας παίρνω για...	Я звоню вам по поводу...
Δεν έχετε δίκιο.	Вы не правы.
Μου είναι δύσκολο να....	Мне трудно...
Κάνε ό,τι θέλεις.	Делай, как хочешь.
Όπως θέλεις.	Как хочешь.
Πώς μπορώ να βοηθήσω;	Чем я могу помочь?
Παίζουν ρόλο πολλά.	Многое имеет значение.
Δεν μπορείτε να (μου) κάνετε καλύτερη τιμή;	Не могли бы вы сделать (мне) цену получше?
Τι να σας πω;	Что вам сказать?
Κοντεύουμε.	Мы почти закончили.
Πόσο σου πήγε;	Сколько это тебе обошлось?
Αλλιώς ... άσ' τα!	А иначе... да ладно, забудь!
Φτηνά τη γλίτωσα.	Я легко отделался(-лась).
Δεν κάναμε και τίποτα.	Мы, в общем-то, ничего особенного не сделали.
Μοιραζόμαστε τα έξοδα.	Мы делим расходы.
Ωραίο όνομα δεν έχει;	А разве у неё не красивое имя?
Γυρίζει όλον τον κόσμο.	Она объездила весь мир.
...., δε νομίζετε;	...., вы не находите?
Καλά τώρα.	Ладно, будет тебе.
Εμείς δε χανόμαστε...	Мы не теряемся из виду...
Θα (σας) κάνω το τραπέζι.	Я угощаю (вас).
