Word	Translation
Ἀθηναῖος, -α, -ον	афинский
ὁ Ἀθηναῖος, -ου	афинянин (Atheniensis)
ἄ-οκνος, -ον	трудолюбивый (impiger)
ἀ-πέραντος, -ον	беспредельный, бесконечный (infinitus)
ἐλεύθερος, -α, -ον	свободный (liber)
ἱκανός, -ή, -όν	достаточный (sufficiens)
ἰσχυρός, -ά, -όν	сильный (strenuus)
καλός, -ή, -όν	красивый (pulcher)
μακρός, -ά, -όν	большой, длинный (magnus, longus)
μικρός, -ά, -όν	маленький, короткий (parvus, brevis)
πολύς, πολλή, πολύ	многочисленный (multus)
χαλεπός, -ή, -όν	трудный (difficilis)
